Age,Gender,Income,SpendingScore,PurchaseAmount,ProductCategory,PaymentMethod,City,State,Country,IsActive,Returns,DiscountUsed,ReviewScore,Browser,Device,SessionTime,Churn,Year,Month
28,1,76241,3,1232,4,3,2,2,1,2,0.9984059511158342,1,4.664585797789328,1,3,214,0,2023.0,1.0
39,0,45457,12,1777,4,4,4,0,2,1,1.0,0,2.766374890054765,0,1,134,0,,
30,2,43434,36,4194,1,2,4,0,2,2,0.9984059511158342,0,2.5809204709231954,2,3,56,0,,
23,0,80719,64,2320,3,0,2,1,3,1,1.0,1,2.138695646161441,3,3,168,1,,
47,0,38033,92,1960,3,2,1,0,3,0,2.0,1,1.0584756506668906,1,3,71,1,,
36,2,59023,39,3340,0,4,2,3,0,0,2.0,2,2.1033685517260667,0,2,220,0,,
65,0,111472,7,4163,2,1,3,1,2,2,0.0,2,4.394389663490644,3,2,57,0,2023.0,1.0
64,1,106274,71,2585,2,3,3,1,0,0,0.0,1,2.1801245851649367,2,3,119,1,2023.0,1.0
47,0,38715,10,4650,2,2,0,1,3,1,0.0,1,2.8177768679005624,1,1,45,1,,
51,0,27377,48,2251,4,4,4,4,1,1,0.9984059511158342,1,2.57589625632632,3,2,161,1,2023.0,1.0
20,2,65210,84,3469,2,0,2,3,1,2,0.9984059511158342,0,4.442560274859023,0,2,107,1,2023.0,1.0
37,0,44524,78,2572,4,4,0,0,0,0,0.0,1,1.137337778879313,1,3,203,1,,
38,2,93251,61,3452,0,3,0,3,3,2,2.0,2,2.0933588285210414,3,0,278,1,,
26,1,29004,74,661,4,4,0,0,3,1,1.0,2,2.066495658475237,3,2,7,1,,
31,1,24830,8,3424,3,3,1,2,1,0,0.9984059511158342,1,2.064520668209786,0,3,1,0,2023.0,1.0
28,0,80481,38,3223,2,0,1,1,1,0,0.0,2,4.709765164172172,1,0,1,0,,
35,1,94466,20,3604,3,4,2,0,1,1,2.0,0,4.036061292037572,1,3,94,1,,
41,1,53270,34,4700,2,2,2,0,3,1,1.0,1,1.2701908084007436,1,2,271,0,2023.0,1.0
29,1,49427,36,1328,2,1,4,1,1,0,2.0,0,2.7010940990562764,0,0,80,0,,
24,0,82919,12,2341,0,2,3,2,3,1,2.0,1,4.097877974203537,1,3,125,0,,
56,2,64839,43,1391,1,1,3,1,1,0,0.0,2,3.2014087867434062,1,3,22,1,2023.0,1.0
31,1,52152,66,1559,2,2,0,2,0,2,2.0,2,1.270664054845513,0,1,93,1,,
22,0,72669,48,2820,2,2,1,3,3,0,1.0,0,3.215651206748594,3,2,103,0,,
59,1,69044,29,1201,1,3,0,3,0,2,0.9984059511158342,0,1.7470652869669658,1,1,109,1,,
67,2,111951,68,4677,4,4,3,0,3,1,0.9984059511158342,2,2.247519814218516,3,3,73,1,2023.0,1.0
64,0,41818,18,4235,3,3,0,1,2,0,0.0,1,3.232027180203061,1,3,251,0,,
29,2,37116,71,1109,1,0,2,3,3,2,0.9984059511158342,2,1.49792931228609,1,0,110,1,2023.0,1.0
29,0,37939,15,675,0,1,4,3,2,2,1.0,1,4.695389251740315,0,3,115,1,2023.0,1.0
40,1,113287,67,767,3,3,3,1,3,0,2.0,1,3.323363106568137,0,1,133,0,,
47,0,88258,49,155,0,3,3,4,1,2,1.0,2,1.261162286861706,2,1,185,1,,
30,1,75965,72,4999,1,0,0,2,2,2,0.0,2,1.6994122440287485,3,3,175,1,2023.0,1.0
59,1,82389,9,853,3,0,2,4,1,2,1.0,2,2.0459640142531814,0,0,80,0,2023.0,1.0
25,0,81009,94,831,3,1,2,2,1,1,1.0,1,2.507216168989261,0,2,140,1,,
38,1,28733,29,1627,1,2,4,3,3,0,0.0,2,3.8371032326695103,2,3,282,1,,
26,1,83865,79,3264,2,3,3,2,2,0,0.9984059511158342,0,4.345431919992423,0,3,98,0,,
36,1,33587,53,4649,1,3,0,0,1,2,0.9984059511158342,2,4.510014604212667,1,2,286,1,,
53,1,81707,85,1185,3,4,2,1,2,2,1.0,0,1.5994736861491123,2,2,269,1,,
64,2,93489,41,1948,4,1,1,3,2,2,0.0,2,4.609171330066001,0,1,233,1,2023.0,1.0
52,0,87439,40,4530,3,3,4,2,0,2,2.0,0,4.241825729276144,3,0,277,1,,
19,0,63744,74,757,3,4,0,0,1,1,0.0,2,2.1294267104537994,1,1,132,1,,
19,1,76782,95,3366,4,3,0,3,2,0,1.0,1,4.529880143714011,0,3,223,0,2023.0,1.0
53,0,108810,16,689,4,4,4,3,3,0,1.0,2,1.282603492100416,3,2,146,1,,
36,0,108003,48,1117,1,1,1,1,1,0,1.0,2,4.430267665291297,3,3,141,0,,
30,2,47740,54,3936,1,2,4,0,3,0,1.0,0,2.8512231137327952,2,3,29,1,2023.0,1.0
33,0,82636,14,2185,1,0,0,4,3,2,1.0,0,3.946405283942484,2,2,259,1,2023.0,1.0
52,1,44474,73,859,0,4,3,0,1,1,2.0,1,2.763438284754683,2,0,11,0,,
53,1,83083,99,785,2,0,4,2,3,1,0.0,0,4.499281864396229,3,0,223,0,,
35,1,100981,70,2103,2,4,3,0,1,0,1.0,2,2.8865976450922397,2,0,159,0,,
58,0,85350,15,3868,1,4,4,2,0,2,1.0,0,3.2885832350027915,3,3,185,0,,
62,1,74333,48,3071,4,4,1,2,1,2,2.0,0,2.290600177748482,3,1,259,1,,
57,0,40939,38,1380,3,4,2,2,1,2,0.9984059511158342,1,3.0838575540482327,3,0,10,0,2023.0,1.0
51,0,47207,95,2311,2,4,1,0,3,0,0.9984059511158342,0,4.0661179688531215,2,3,201,1,,
37,2,88226,75,1957,1,4,2,0,1,0,0.0,2,3.221048940934472,1,2,239,1,2023.0,1.0
63,1,87061,86,4467,2,1,1,0,0,2,0.0,0,3.775930268443558,2,2,31,1,,
52,0,84591,6,3631,4,0,0,1,2,0,0.0,0,2.0346035600657317,1,2,169,1,,
30,2,31517,17,3397,0,3,4,0,2,0,0.0,2,4.66573013556259,3,3,187,0,,
69,1,113433,21,557,0,0,2,2,2,2,1.0,2,3.890756911947323,1,3,22,1,,
21,0,68621,35,1961,1,1,1,2,0,0,0.9984059511158342,1,3.710019870672732,3,2,41,1,2023.0,1.0
59,1,84442,18,2463,2,0,1,1,1,2,2.0,0,1.584285420283328,1,0,102,1,2023.0,1.0
32,0,52356,32,3160,1,0,3,4,3,2,0.9984059511158342,2,3.116991189050609,3,0,106,0,,
68,0,82948,37,3024,2,2,2,1,2,2,2.0,0,3.5504700120289385,1,0,166,0,,
59,1,105024,38,4429,0,1,0,4,3,0,2.0,1,2.621168667655573,2,2,65,0,,
66,2,34123,58,2212,0,2,2,4,1,0,0.9984059511158342,2,4.712212326561504,3,3,87,0,,
40,2,89109,34,2372,2,4,4,0,1,0,2.0,0,1.5063796221982613,3,1,169,0,,
20,1,47050,14,1812,2,4,0,4,2,0,0.0,1,2.323690057836997,0,2,92,0,2023.0,1.0
36,0,105548,1,162,0,1,2,0,0,1,0.9984059511158342,1,2.5204113490833446,1,2,243,1,,
50,1,31419,30,1009,4,0,3,4,3,1,1.0,1,3.890736330682077,0,3,256,0,,
64,1,24369,25,3519,3,2,3,0,2,1,0.0,2,4.808934865093493,2,3,185,1,,
69,1,23664,61,2076,0,3,1,1,2,0,0.0,2,1.1938577954032397,0,3,157,1,,
42,2,92683,97,597,3,2,3,0,3,2,2.0,0,2.583278231227857,3,0,7,1,,
32,0,41832,28,137,1,1,2,1,3,2,2.0,2,1.511436955741448,3,1,188,0,,
39,1,27410,29,3328,4,1,3,1,0,1,2.0,0,2.591239388506548,1,0,8,0,,
55,0,47430,44,4737,2,0,2,0,2,0,0.0,2,3.837241795114931,0,0,86,0,2023.0,1.0
24,2,65950,38,460,4,1,0,2,2,0,1.0,2,4.379659753806223,1,0,33,1,,
23,1,77865,88,2464,0,0,0,2,0,0,2.0,1,3.223179224316738,1,1,247,1,,
69,1,116669,74,536,0,3,0,1,2,0,2.0,0,4.621863245565594,3,3,191,1,,
22,1,49873,4,2567,0,2,3,0,2,2,0.9984059511158342,0,1.274167768746227,0,1,287,0,,
54,0,109682,4,1955,1,0,0,0,0,1,2.0,1,3.502485309136904,0,3,116,1,,
69,0,103251,63,101,1,1,3,1,3,0,0.0,2,4.93522811263278,2,0,280,1,,
35,1,80727,96,1417,2,2,1,4,1,2,2.0,0,1.642121308124874,3,0,198,1,,
23,0,118656,94,3163,2,4,1,0,3,0,0.0,1,1.5567355133796037,3,3,198,0,,
67,2,52926,71,2714,0,1,1,4,1,2,1.0,2,4.722058933209329,0,2,190,0,,
58,2,76361,64,941,0,1,2,4,1,2,0.9984059511158342,1,4.8907874857844345,0,0,26,0,,
62,1,20244,53,2969,2,4,4,2,0,2,0.9984059511158342,0,3.668159490514375,1,1,228,1,,
18,2,54512,85,4469,0,4,2,1,3,1,2.0,0,1.0056018582500137,2,2,166,0,,
48,1,51481,19,4474,2,2,2,0,2,2,0.9984059511158342,0,1.3837676263387153,0,0,3,1,,
35,0,67632,83,3044,0,2,4,2,0,2,0.0,0,2.907183443004387,2,3,278,1,2023.0,1.0
21,0,87428,15,4203,3,4,0,3,1,2,0.0,1,2.69909200262592,3,0,151,0,2023.0,1.0
25,0,64358,26,4918,4,4,2,2,0,2,2.0,2,2.6558300874065965,3,3,145,0,,
44,2,83042,70,3614,4,3,4,3,1,0,0.0,0,1.2264587019541389,1,3,57,1,,
48,2,79940,80,3774,2,3,1,4,3,2,0.0,2,1.4893215104036104,2,1,158,1,,
49,0,96292,50,4832,2,4,3,3,2,2,1.0,1,4.008372390840272,0,3,54,0,,
63,0,93927,92,3922,1,1,4,1,1,0,2.0,1,3.669400451071301,3,2,192,1,,
27,2,93551,14,2792,2,1,4,2,0,2,0.0,0,2.3907401234052106,0,2,161,1,,
45,1,75654,97,2045,0,1,1,3,0,2,0.9984059511158342,0,1.1823533092234744,1,1,11,1,,
33,0,82694,89,2377,0,2,3,0,0,0,1.0,2,2.8621666938161088,0,1,108,1,2023.0,1.0
21,0,68068,45,2899,3,2,3,3,2,1,1.0,1,2.2269282414962315,0,3,255,0,,
57,0,69322,45,1574,0,3,4,2,0,2,0.9984059511158342,2,4.295412353578918,3,3,222,1,,
60,1,103203,58,2132,4,4,4,2,1,0,1.0,2,1.310785729425865,0,3,172,0,,
48,0,110999,49,659,2,4,4,4,2,2,0.9984059511158342,1,1.0813452278340074,3,3,102,1,,
29,2,28584,99,1523,3,2,1,1,1,0,2.0,0,2.817932247605846,3,0,220,0,,
21,1,53639,17,1813,0,3,3,2,2,1,0.9984059511158342,0,4.85233344098026,3,2,229,0,,
24,2,116008,6,3098,1,4,0,2,2,2,0.9984059511158342,0,4.432614078896659,3,3,27,1,,
39,0,20840,9,1494,0,2,0,4,0,2,0.9984059511158342,0,4.229587269341332,0,2,138,1,,
49,0,108263,15,493,3,2,0,3,1,2,0.0,0,1.584944023151334,2,0,197,0,,
32,1,60888,83,770,0,4,0,0,1,0,2.0,1,1.541367639372185,3,1,100,1,,
20,0,66733,21,3953,2,0,4,0,3,1,0.9984059511158342,2,2.73824654003771,0,3,48,0,2023.0,1.0
20,1,114905,2,4942,2,3,0,4,2,0,1.0,2,4.342972198394996,2,3,291,0,2023.0,1.0
36,0,63016,62,2609,4,3,3,4,3,2,0.0,1,3.690250518614167,3,0,290,1,,
52,0,52813,17,3063,1,0,2,4,1,0,0.0,1,3.3048295081912946,2,1,209,1,,
26,2,75096,86,3448,4,4,2,0,0,2,1.0,0,4.6918157834716085,3,0,267,1,,
46,0,102799,18,502,4,2,0,1,3,2,1.0,0,3.603655342841968,3,0,297,1,,
48,1,21816,34,570,3,3,4,4,2,1,0.9984059511158342,0,3.10507073970023,3,0,49,1,2023.0,1.0
44,0,26749,25,2553,2,3,0,4,3,2,0.9984059511158342,0,4.621245037483412,1,2,7,1,,
26,0,27436,82,4627,4,1,2,2,0,0,0.9984059511158342,0,4.342931063958441,1,0,139,1,,
62,1,97000,65,1615,0,0,0,2,3,0,0.9984059511158342,2,1.6482689188485566,0,1,136,0,,
46,0,40946,60,1844,1,2,0,2,3,0,0.0,0,3.5824395753958926,3,3,206,0,,
57,1,78734,10,708,4,3,4,3,1,1,2.0,2,2.0040686341036773,2,1,77,1,,
34,2,95351,34,3870,1,0,1,0,2,2,1.0,1,2.4233540729697745,1,0,162,1,2023.0,1.0
45,1,69220,48,2550,4,3,3,3,3,1,0.0,0,4.1787244145459725,0,3,37,0,,
55,2,114120,75,1131,1,2,3,2,3,2,2.0,2,3.269005495416342,0,1,70,1,,
25,1,89650,74,648,2,0,3,2,1,1,2.0,2,2.9871927764453003,1,0,197,1,2023.0,1.0
48,0,106135,74,1478,1,0,4,3,0,2,1.0,1,3.762634780110787,1,2,18,1,,
38,0,94095,81,532,2,1,2,4,0,0,2.0,2,2.9435669416310253,2,3,170,1,,
56,2,69757,42,3413,4,1,4,4,2,2,0.9984059511158342,1,2.5123452194293616,1,1,260,1,,
68,2,108606,1,4040,1,4,2,0,0,2,1.0,1,4.678014824813299,0,3,235,0,,
61,2,109300,25,1331,4,4,3,1,3,2,0.9984059511158342,1,4.696099697443528,3,0,279,0,,
20,0,41730,20,4949,4,4,3,3,3,0,0.0,2,4.131328960419271,2,1,122,0,,
35,0,32521,98,3449,2,4,3,4,0,2,0.0,2,4.822149816710361,2,2,180,0,,
55,1,86177,83,2067,1,4,3,3,0,2,0.9984059511158342,0,4.373664162846245,1,1,91,1,,
69,0,81404,66,3562,4,2,4,4,1,2,0.0,0,2.785704632275911,1,2,271,0,2023.0,1.0
68,1,83965,7,751,2,0,0,0,3,2,0.9984059511158342,2,3.1511461364999205,1,0,286,1,,
29,1,117662,86,3319,3,3,4,2,3,2,2.0,1,1.016121624549196,1,3,202,1,,
22,0,82107,66,887,3,2,4,1,0,1,2.0,2,4.337752253185716,0,2,277,1,,
33,1,31920,54,2135,1,4,3,2,0,2,0.9984059511158342,2,4.046090064893955,2,3,2,0,,
25,2,62816,29,674,1,2,1,2,3,2,1.0,2,3.7415331575176656,2,2,224,1,,
64,2,84558,5,3109,0,0,2,4,2,0,0.9984059511158342,1,1.8306163735978784,2,3,273,1,,
31,1,54954,66,2583,1,3,1,0,1,0,2.0,2,3.179162441629235,2,2,84,1,,
61,0,75038,10,1174,4,3,1,0,1,1,2.0,2,3.778890207752848,2,2,294,1,2023.0,1.0
32,0,68920,24,2742,4,4,1,3,3,0,0.0,0,4.236407780530582,1,0,278,1,,
21,0,75114,91,1117,4,3,0,3,1,1,0.0,2,1.054700026561009,1,2,30,1,2023.0,1.0
63,0,36065,96,2580,1,2,1,3,1,2,1.0,2,3.636430272554001,2,0,294,0,,
45,0,75279,66,584,2,4,2,2,3,2,0.0,2,3.532777257363404,0,2,82,0,,
47,1,27939,68,520,0,4,1,0,2,2,0.9984059511158342,2,2.332660950194366,0,1,43,0,,
43,2,80422,13,3179,3,1,4,3,2,0,0.9984059511158342,1,3.339047208047245,3,1,144,1,,
43,0,38261,8,4559,1,1,2,2,0,1,0.0,0,3.0324362964352938,3,2,232,1,,
24,1,70406,15,2957,4,4,4,3,3,0,0.9984059511158342,1,1.087407973481875,2,0,296,1,,
19,0,28798,22,912,0,3,2,1,1,1,2.0,1,3.4883851691391983,1,1,51,0,,
58,0,34690,66,2003,0,1,4,3,1,2,2.0,2,2.3672212103602,3,3,291,1,,
67,1,41976,70,2532,3,2,4,1,3,2,0.0,2,1.5882923738547057,3,2,75,1,,
54,1,106078,93,2477,1,2,4,1,2,2,0.0,1,1.8276821668265448,0,1,264,1,,
33,1,36978,53,3613,3,1,2,4,0,2,1.0,1,4.64825583495845,2,1,164,0,2023.0,1.0
29,0,64112,81,3426,2,2,2,3,3,0,1.0,0,2.4951824981086896,0,1,28,0,2023.0,1.0
43,0,104216,17,1503,1,4,1,1,3,2,1.0,1,2.6797167855620976,3,2,168,0,,
44,0,59749,24,3783,2,4,3,3,3,0,2.0,2,3.9534507751368566,1,3,226,0,,
45,1,60954,80,286,3,1,1,0,3,2,0.9984059511158342,2,1.1336553999088568,3,0,288,0,,
43,0,52675,33,4823,3,2,1,0,1,2,2.0,2,1.8539284985029056,3,3,147,0,,
64,2,115347,64,2082,1,4,0,2,3,0,2.0,2,4.582799455953099,0,0,135,1,,
65,1,27176,73,681,1,3,3,4,1,2,0.9984059511158342,2,2.2166167721799344,2,3,287,1,,
58,1,52544,27,3237,3,2,2,3,1,2,1.0,2,2.47638479028992,2,0,99,0,,
23,1,109405,19,3376,4,2,3,0,2,0,1.0,0,3.6587835049372535,1,2,47,0,,
36,1,74273,21,3174,3,4,4,2,1,0,0.9984059511158342,0,3.4160307579397453,1,3,16,0,,
57,0,118694,15,819,3,0,4,1,1,0,0.9984059511158342,2,3.158764747671186,3,2,94,1,,
66,0,86617,5,2541,2,2,1,4,3,2,0.0,1,2.4579787696076485,0,0,291,1,,
65,0,40968,18,4672,4,0,1,3,2,1,0.0,1,4.708681070375244,3,2,270,0,,
37,1,73010,72,1412,4,3,2,2,3,0,1.0,0,2.3085829106274423,0,2,81,1,,
51,1,54017,22,3761,3,1,4,3,2,0,0.0,1,4.8127316769593484,1,1,220,0,2023.0,1.0
33,0,78150,95,2880,0,3,4,1,3,0,0.9984059511158342,0,2.6316652317574856,0,2,3,1,,
30,0,74711,14,2786,2,1,1,3,2,1,2.0,1,3.2353045997293512,1,1,151,1,,
51,1,30686,51,1002,4,4,4,2,0,1,0.9984059511158342,0,4.6478096281432855,3,1,202,0,2023.0,1.0
67,2,113697,59,2893,3,2,3,1,0,0,0.0,1,2.6136905411625166,2,0,207,1,,
19,0,113976,38,913,1,3,0,1,2,2,1.0,1,1.0528581159738368,1,0,26,1,,
46,0,118628,42,1825,1,2,4,3,1,0,0.0,0,1.3385189440211591,2,0,133,1,,
26,2,28711,28,716,2,2,0,0,2,2,0.0,1,3.890210467989023,3,0,41,1,,
57,0,53440,16,3639,3,2,4,2,3,0,1.0,1,4.473469801777285,3,1,130,1,,
55,1,107148,99,210,0,3,4,3,2,0,0.0,1,3.077585804776798,2,0,250,0,,
22,2,66835,96,2850,2,2,1,1,3,2,0.9984059511158342,0,3.4198934002683417,1,0,201,0,,
23,0,96700,97,692,2,1,4,2,1,1,0.0,1,1.984787571093042,2,0,215,1,2023.0,1.0
64,0,71999,9,337,1,0,0,2,0,1,0.9984059511158342,2,1.1607296393852131,1,1,264,1,,
54,0,56181,89,3601,2,4,4,4,0,0,1.0,0,4.077919759078236,1,0,50,1,,
23,0,58031,8,4744,1,3,1,1,1,0,0.0,0,4.700362270281774,2,2,118,1,,
20,0,111281,76,3065,0,3,2,2,2,2,0.0,2,4.840764155294677,3,0,161,1,,
48,2,69262,81,1306,2,3,1,1,2,2,1.0,0,2.8591889052060564,1,2,169,0,,
56,1,92467,97,2204,2,3,2,4,0,2,2.0,0,4.51012779829491,3,2,97,0,,
66,1,103184,46,4939,2,3,3,3,3,2,0.9984059511158342,0,4.41039728706201,1,1,199,1,2023.0,1.0
55,1,61632,92,263,1,0,4,0,2,0,1.0,2,3.2596500997140323,3,0,73,0,,
19,0,23980,18,2934,0,1,3,3,0,2,0.0,1,3.075985747550345,2,3,294,1,,
53,1,34193,39,3904,3,1,0,2,2,2,0.9984059511158342,0,1.1629899104876862,0,3,191,0,,
33,2,68926,79,4228,4,3,2,2,2,1,0.9984059511158342,1,1.2346715673059876,2,3,73,0,,
58,0,112019,91,1470,3,1,4,3,3,0,0.0,0,4.641703534623479,2,3,170,1,2023.0,1.0
68,0,97214,9,4186,4,0,4,0,3,1,0.9984059511158342,2,2.116279591130118,3,3,68,1,,
28,0,118750,86,2396,4,1,2,0,1,2,0.0,2,4.15028094610167,3,2,269,0,2023.0,1.0
19,0,38452,6,960,0,0,0,0,2,0,1.0,2,4.378808837559934,0,1,124,1,,
52,0,47746,89,376,1,4,1,1,2,2,0.0,0,1.7736753580601676,0,0,12,0,,
67,0,93973,29,3434,1,1,3,4,3,0,2.0,2,4.601081725294055,2,2,85,0,,
49,1,101614,20,4149,1,3,0,0,3,2,0.9984059511158342,2,1.189662097835153,3,0,277,1,,
38,1,93309,13,3209,3,1,2,2,3,2,1.0,2,3.641536773806412,0,0,96,1,,
62,1,76091,39,3314,4,1,0,4,0,0,0.9984059511158342,0,1.2399383299984974,3,3,105,0,,
31,2,61722,81,1604,0,4,3,3,2,0,2.0,2,2.7372270518011583,3,0,264,0,,
26,0,38756,74,4605,2,4,0,2,3,2,0.9984059511158342,2,2.2297686691112952,2,2,242,1,2023.0,1.0
65,2,64610,8,1470,0,4,1,3,0,0,0.0,1,3.497452169260608,3,3,10,1,,
45,0,20209,20,1708,0,4,2,1,0,0,0.9984059511158342,1,2.7395239100660107,0,3,8,1,,
18,0,92914,8,1295,3,0,2,2,3,0,0.9984059511158342,2,3.593385979411887,3,3,158,0,,
63,2,53717,91,1373,2,4,3,1,0,0,1.0,0,3.791950452780002,0,3,131,0,,
41,0,50552,34,1347,3,3,2,2,3,2,2.0,0,4.122407870889224,1,0,125,1,,
21,0,72703,37,3405,4,4,3,3,0,2,2.0,2,2.7337352506919714,3,1,291,1,,
25,0,42578,93,1875,3,2,2,4,1,2,0.0,2,2.5911034346699147,0,3,43,1,,
54,2,70624,92,1090,3,0,0,1,0,2,2.0,0,3.589134172540773,3,0,121,0,,
51,0,22019,20,3837,2,3,0,3,3,0,0.9984059511158342,0,3.9592849836895416,0,1,147,1,,
38,0,65612,15,1167,4,2,3,0,2,2,1.0,1,3.891644948321016,2,1,51,0,,
66,0,29745,58,4229,2,1,4,2,0,0,1.0,1,2.5217383499720043,3,1,278,0,2023.0,1.0
35,1,64397,5,3241,1,3,0,4,0,2,2.0,0,3.1710657758014613,2,2,20,1,,
19,1,41446,21,1112,0,0,3,2,2,2,1.0,1,4.9123677353992985,3,3,163,1,2023.0,1.0
61,1,116876,29,4417,4,4,4,4,3,1,0.0,0,2.3848453094379773,2,1,160,0,,
50,2,118869,84,1797,4,0,3,0,2,2,1.0,0,4.139570412410589,0,3,162,1,,
24,2,95257,66,4450,0,2,3,1,0,1,1.0,1,2.564205047172331,3,2,262,1,,
52,0,37300,5,232,2,4,3,0,1,0,1.0,1,3.593209846903261,0,1,208,1,2023.0,1.0
66,1,68458,57,4608,4,0,4,1,1,2,0.9984059511158342,1,3.929528905350888,0,2,23,0,,
40,1,37883,11,1418,2,0,2,1,0,2,1.0,2,1.1280769504408577,3,3,72,0,,
34,0,35797,15,1957,1,2,1,1,3,2,0.0,0,4.021487054536356,0,0,174,0,2023.0,1.0
47,0,54346,64,4453,2,0,2,1,3,1,1.0,1,1.4462186935159314,3,2,17,0,,
18,0,57211,27,3996,0,1,4,3,3,2,2.0,1,3.99155233867429,1,2,128,1,,
42,1,84373,82,938,2,1,4,2,2,1,2.0,1,2.077124406291036,1,3,114,1,2023.0,1.0
68,1,23017,25,903,3,3,4,4,2,2,1.0,1,2.0332918860591165,3,3,82,0,2023.0,1.0
48,2,36661,37,4250,3,2,4,1,2,1,2.0,1,1.443061963093942,0,2,205,0,2023.0,1.0
54,1,90966,87,1907,0,1,3,2,2,0,0.0,0,4.302146571301572,2,3,30,0,2023.0,1.0
39,2,96764,17,3141,0,4,0,4,3,2,0.9984059511158342,0,1.292341301275973,2,3,229,1,,
42,2,40323,21,1702,4,4,4,2,2,0,1.0,1,1.0291692179674867,3,0,163,0,,
29,0,73836,97,1987,3,1,3,2,1,0,0.0,1,4.580053990604659,1,0,183,0,,
27,2,39159,25,1859,4,2,1,0,0,0,2.0,0,3.463757878049494,2,1,193,0,,
35,1,116382,17,2721,4,1,2,0,1,1,0.0,1,1.541471399162864,1,2,118,0,2023.0,1.0
